plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam
Myrsine_coriacea,Vireo_olivaceus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,4.357541899,10.23571429,3.262
Allophylus_edulis,Catharus_ustulatus,Blendinger,(a) Gulpers,4.35,11.1,9.533
Euterpe_edulis,Trogon_viridis,Castro_(2003),(a) Gulpers,4.347826087,23.5,13.3575
Viscum_album,Erithacus_rubecula,Mellado_and_Zamora,(a) Gulpers,4.31,5.3,7.5
Lindera_benzoin,Hylocichla_mustelina,Malmborg_and_Willson,(a) Gulpers,4.3,11,9
Vassobia_breviflora,Elaenia_parvirostris,Palacio_et_al.,(a) Gulpers,4.3,10,9.96
Euterpe_edulis,Turdus_amaurochalinus,Castro_(2003),(a) Gulpers,4.290322581,12.48,13.3575
Aralia_soratensis,Elaenia_albiceps,Blendinger,(a) Gulpers,4.29,9.2,7.4
Phoradendron_ensifolium,Thlypopsis_sordida,Di_Pauli,(b) Mashers,4.29,9.628333333,6.3
Miconia_albicans,Myiodynastes_maculatus,Allenspach_e_Dias_(2012),(a) Gulpers,4.259259259,15.92,7.62
Alchornea_glandulosa,Pitangus_sulphuratus,Zimmermann_(1996),(a) Gulpers,4.2,16.35,4.4
Pera_glabrata,Dacnis_cayana,Francisco_et_al._(2007),(b) Mashers,4.2,8.03,3.7075
Schefflera_morototoni,Euphonia_rufiventris,Purifica??o_et_al._(2015),(b) Mashers,4.186046512,7.3,9.2
Prunus_mahaleb,Dendrocopos_major,Jordano_and_Schupp,(a) Gulpers,4.17,11.2,8.8
Pera_glabrata,Vireo_olivaceus,Francisco_et_al._(2007),(a) Gulpers,4.166666667,10.23571429,3.7075
Myrsine_coriacea,Myiarchus_swainsoni,Pascotto_(2007),(a) Gulpers,4.137931034,11.35,3.262
Phoradendron_ensifolium,Pipraeidea_melanonota,Blendinger,(b) Mashers,4.13,9.3,6.3
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),(a) Gulpers,4.0625,30,13.3575
Phoradendron_ensifolium,Turdus_rufiventris,Di_Pauli,(a) Gulpers,4.06,14.50625,6.3
Myrsine_coriacea,Piranga_flava,Pascotto_(2007),(b) Mashers,4.05904059,11.7,3.262
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),(a) Gulpers,4.03030303,12.51891892,13.3575
Ilex_paraguariensis,Turdus_rufiventris,Colussi_e_Prestes_(2011),(a) Gulpers,4.013953488,14.50625,6.807
Amomyrtella_guilii,Chlorospingus_ophthalmicus,Blendinger,(b) Mashers,4,9,10.6
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),(a) Gulpers,4,30,13.3575
Ilex_paraguariensis,Pitangus_sulphuratus,Colussi_e_Prestes_(2011),(a) Gulpers,4,16.35,6.807
Lacistema_hasslerianum,Elaenia_chiriquensis,Melo_e_Oliveira_(2009),(a) Gulpers,4,11,5.85
Miconia_albicans,Empidonomus_varius,Gondim_(2002),(a) Gulpers,4,11.5,7.62
Miconia_chamissois,Crotophaga_ani,Am?ncio_&_Melo_(2008),(a) Gulpers,4,17.13333333,5.4
Miconia_stenostachya,Cyanocorax_chrysops,Gondim_(2002),(a) Gulpers,4,19.5,7.4
Vassobia_breviflora,Thraupis_sayaca,Palacio_et_al.,(b) Mashers,3.94,12,9.96
Euterpe_edulis,Turdus_flavipes,C?rtes_(2003),(a) Gulpers,3.933333333,13.21818182,13.3575
Podocarpus_parlatorei,Cyanocorax_chrysops,Blendinger,(a) Gulpers,3.93,19.5,6
Pera_glabrata,Cyclarhis_gujanensis,Francisco_et_al._(2007),(a) Gulpers,3.921568627,11.1,3.7075
Curatella_americana,Tangara_cayana,Pascotto_et_al_(2012),(b) Mashers,3.89261745,8.65,13.9275
Ilex_paraguariensis,Mimus_saturninus,Colussi_e_Prestes_(2011),(a) Gulpers,3.890243902,12.15,6.807
Curatella_americana,Piranga_flava,Pascotto_et_al_(2012),(b) Mashers,3.886925795,11.7,13.9275
Ilex_paraguariensis,Turdus_leucomelas,Colussi_e_Prestes_(2011),(a) Gulpers,3.856287425,14.1125,6.807
Acnistus_arborescens,Thraupis_sayaca,Athi?_e_Dias_(2010),(b) Mashers,3.846153846,12,7.135
Ilex_paraguariensis,Chiroxiphia_caudata,Colussi_e_Prestes_(2011),(a) Gulpers,3.825136612,11.08787879,6.807
Ocotea_corymbosa,Penelope_superciliaris,Gondim_(2002),(a) Gulpers,3.790697674,25,5.7
Acnistus_arborescens,Tangara_cayana,Athi?_e_Dias_(2010),(b) Mashers,3.773584906,8.65,7.135
Xylopia_sericea,Coereba_flaveola,Correia_(1997),(b) Mashers,3.75,5.922222222,7.4
Miconia_cinnamomifolia,Cacicus_haemorrhous,Correia_(1997),(a) Gulpers,3.738317757,12.1125,3.2
Curatella_americana,Mimus_saturninus,Pascotto_et_al._(2012),(a) Gulpers,3.720930233,12.15,13.9275
Myrsine_coriacea,Thraupis_sayaca,Pascotto_(2007),(b) Mashers,3.703703704,12,3.262
Miconia_ligustroides,Dacnis_cayana,Allenspach_et_al._(2012),(b) Mashers,3.696682464,8.03,5.715
Miconia_albicans,Manacus_manacus,Correia_(1997),(a) Gulpers,3.676470588,10.5826087,7.62
Myrsine_coriacea,Tyrannus_melancholicus,Francisco_e_Galetti_(2001),(a) Gulpers,3.666666667,14.63333333,3.262
Myrsine_coriacea,Elaenia_albiceps,Blendinger,(a) Gulpers,3.64,9.2,3.262
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),(a) Gulpers,3.636363636,12.51891892,13.3575
Xylopia_aromatica,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,3.636363636,14.1125,4.3
Prunus_mahaleb,Garrulus_glandarius,Jordano_and_Schupp,(b) Mashers,3.63,17.2,8.8
Alchornea_triplinervia,Dacnis_cayana,Correia_(1997),(b) Mashers,3.623188406,8.03,7.15
